source,target,value
CVE-2015-4754,oracle,6.9
CVE-2015-1138,apple,4.9
CVE-2015-4759,oracle,6.8
CVE-2015-4758,oracle,6.8
CVE-2015-5572,adobe,5.0
CVE-2015-5572,linux,5.0
CVE-2015-5572,google,5.0
CVE-2015-5572,apple,5.0
CVE-2015-5572,microsoft,5.0
CVE-2015-6919,googlesearchproject,4.3
CVE-2015-1139,apple,6.8
CVE-2015-5573,adobe,0.0
CVE-2015-5573,google,0.0
CVE-2015-5573,linux,0.0
CVE-2015-5573,apple,0.0
CVE-2015-5573,microsoft,0.0
CVE-2015-4430,adobe,0.0
CVE-2015-4430,microsoft,0.0
CVE-2015-4430,apple,0.0
CVE-2015-4430,linux,0.0
CVE-2015-5574,adobe,0.0
CVE-2015-5574,google,0.0
CVE-2015-5574,microsoft,0.0
CVE-2015-5574,apple,0.0
CVE-2015-5574,linux,0.0
CVE-2015-3702,apple,7.2
CVE-2015-5575,adobe,0.0
CVE-2015-5575,linux,0.0
CVE-2015-5575,apple,0.0
CVE-2015-5575,microsoft,0.0
CVE-2015-5575,google,0.0
CVE-2015-5576,adobe,5.0
CVE-2015-5576,linux,5.0
CVE-2015-5576,google,5.0
CVE-2015-5576,apple,5.0
CVE-2015-5576,microsoft,5.0
CVE-2015-2018,ibm,3.5
CVE-2015-2019,ibm,2.1
CVE-2015-1908,ibm,4.3
CVE-2015-2014,ibm,5.8
CVE-2015-2015,ibm,4.3
CVE-2015-2013,ibm,5.0
CVE-2015-4431,adobe,0.0
CVE-2015-4431,linux,0.0
CVE-2015-4431,microsoft,0.0
CVE-2015-4431,apple,0.0
CVE-2015-4539,emc,4.3
CVE-2015-4538,emc,7.5
CVE-2015-4537,emc,3.5
CVE-2015-4536,emc,3.5
CVE-2015-4535,emc,7.5
CVE-2015-4534,emc,9.0
CVE-2015-4533,emc,9.0
CVE-2015-4532,emc,9.0
CVE-2015-4531,emc,9.0
CVE-2015-4530,emc,6.8
CVE-2015-5472,ibsmapproproject,7.8
CVE-2015-5129,adobe,0.0
CVE-2015-5129,microsoft,0.0
CVE-2015-5129,apple,0.0
CVE-2015-5129,linux,0.0
CVE-2015-3989,concrete5,4.3
CVE-2015-3988,openstack,3.5
CVE-2015-3987,mcafee,7.2
CVE-2015-3986,thecartpress,4.3
CVE-2015-3983,fedora,4.3
CVE-2015-3982,djangoproject,5.0
CVE-2015-3981,sap,5.0
CVE-2015-3980,sap,7.5
CVE-2015-5754,apple,9.3
CVE-2015-5755,apple,6.8
CVE-2015-5756,apple,6.8
CVE-2015-5757,apple,9.3
CVE-2015-5750,apple,7.5
CVE-2015-5477,isc,7.8
CVE-2015-5360,juniper,5.0
CVE-2015-5753,apple,6.8
CVE-2015-5758,apple,6.8
CVE-2015-5759,apple,5.0
CVE-2015-5492,videoconsultationproject,4.3
CVE-2015-5775,apple,7.5
CVE-2015-2908,mobiledevices,9.0
CVE-2015-2904,actiontec,8.3
CVE-2015-2905,actiontec,6.8
CVE-2015-2906,mobiledevices,9.0
CVE-2015-2907,mobiledevices,9.0
CVE-2015-4382,invoiceproject,6.8
CVE-2015-4933,ibm,0.0
CVE-2015-5491,dynamicdisplayblockproject,3.5
CVE-2015-6731,semanticformsproject,4.3
CVE-2015-3834,google,0.0
CVE-2015-4546,emc,7.8
CVE-2015-1787,openssl,2.6
CVE-2015-6736,quizproject,5.0
CVE-2015-5490,viewsproject,5.0
CVE-2015-3329,php,7.5
CVE-2015-0227,apache,5.0
CVE-2015-0225,apache,7.5
CVE-2015-0223,apache,5.0
CVE-2015-0222,canonical,5.0
CVE-2015-0222,djangoproject,5.0
CVE-2015-0221,djangoproject,5.0
CVE-2015-0221,canonical,5.0
CVE-2015-0220,canonical,4.3
CVE-2015-0220,djangoproject,4.3
CVE-2015-0228,apache,5.0
CVE-2015-4241,cisco,6.1
CVE-2015-3059,adobe,0.0
CVE-2015-3059,apple,0.0
CVE-2015-3059,microsoft,0.0
CVE-2015-4243,cisco,6.1
CVE-2015-4242,cisco,6.8
CVE-2015-4244,cisco,7.2
CVE-2015-3058,adobe,5.0
CVE-2015-3058,apple,5.0
CVE-2015-3058,microsoft,5.0
CVE-2015-5496,pass2pdfproject,5.0
CVE-2015-2492,microsoft,9.3
CVE-2015-6927,openvz,3.6
CVE-2015-2775,canonical,7.6
CVE-2015-2775,debian,7.6
CVE-2015-2775,redhat,7.6
CVE-2015-2775,gnu,7.6
CVE-2015-2493,microsoft,9.3
CVE-2015-3051,adobe,0.0
CVE-2015-3051,apple,0.0
CVE-2015-3051,microsoft,0.0
CVE-2015-3629,docker,7.2
CVE-2015-3050,adobe,0.0
CVE-2015-3050,apple,0.0
CVE-2015-3050,microsoft,0.0
CVE-2015-3622,fedoraproject,4.3
CVE-2015-3622,gnu,4.3
CVE-2015-3623,qlik,6.4
CVE-2015-3620,fortinet,4.3
CVE-2015-3621,sap,9.3
CVE-2015-3626,fortinet,4.3
CVE-2015-3627,docker,7.2
CVE-2015-3624,ektron,5.8
CVE-2015-3625,nvidia,7.2
CVE-2015-3625,freebsd,7.2
CVE-2015-0533,emc,4.3
CVE-2015-0532,emc,7.5
CVE-2015-0531,emc,5.0
CVE-2015-0530,emc,7.2
CVE-2015-0537,emc,7.5
CVE-2015-0536,emc,2.6
CVE-2015-0535,emc,4.3
CVE-2015-0534,emc,5.0
CVE-2015-1840,rubyonrails,5.0
CVE-2015-1841,redhat,3.7
CVE-2015-1842,redhat,0.0
CVE-2015-0538,emc,9.3
CVE-2015-1844,theforeman,4.0
CVE-2015-1845,unzoo,0.0
CVE-2015-1846,unzoo,7.8
CVE-2015-5801,apple,6.8
CVE-2015-2237,betsterproject,7.5
CVE-2015-2234,lenovo,6.9
CVE-2015-4659,labsmedia,6.8
CVE-2015-6677,adobe,0.0
CVE-2015-6677,google,0.0
CVE-2015-6677,microsoft,0.0
CVE-2015-6677,apple,0.0
CVE-2015-6677,linux,0.0
CVE-2015-3755,apple,4.3
CVE-2015-4190,cisco,4.3
CVE-2015-3322,lenovo,5.0
CVE-2015-5368,hp,7.8
CVE-2015-3753,apple,5.0
CVE-2015-3756,apple,2.1
CVE-2015-3757,apple,2.1
CVE-2015-3754,apple,4.3
CVE-2015-3320,lenovo,2.1
CVE-2015-3752,apple,5.0
CVE-2015-3750,apple,6.4
CVE-2015-0409,oracle,4.0
CVE-2015-0408,oracle,0.0
CVE-2015-0407,oracle,5.0
CVE-2015-0406,oracle,5.8
CVE-2015-0405,oracle,4.0
CVE-2015-0404,oracle,4.3
CVE-2015-0403,oracle,6.9
CVE-2015-0402,oracle,4.3
CVE-2015-0401,oracle,4.0
CVE-2015-0400,oracle,5.0
CVE-2015-1935,ibm,8.0
CVE-2015-1936,ibm,6.0
CVE-2015-1937,ibm,7.5
CVE-2015-1930,ibm,7.8
CVE-2015-1932,ibm,5.0
CVE-2015-4429,adobe,0.0
CVE-2015-4429,linux,0.0
CVE-2015-4429,microsoft,0.0
CVE-2015-4429,apple,0.0
CVE-2015-1938,ibm,0.0
CVE-2015-6466,moxa,4.3
CVE-2015-6465,moxa,6.8
CVE-2015-6464,moxa,8.5
CVE-2015-6463,codewrights,5.8
CVE-2015-6463,endress%2bhauser,5.8
CVE-2015-4359,registrationcodesproject,3.5
CVE-2015-6460,3s-smart,7.5
CVE-2015-4358,ubercartdiscountcouponsproject,3.5
CVE-2015-3788,apple,6.8
CVE-2015-6469,ibcsolar,5.0
CVE-2015-6468,resourcedatamanagementdatamanager,6.8
CVE-2015-2377,microsoft,9.3
CVE-2015-2376,microsoft,9.3
CVE-2015-2375,microsoft,4.3
CVE-2015-2374,microsoft,3.3
CVE-2015-2373,microsoft,0.0
CVE-2015-2372,microsoft,9.3
CVE-2015-2371,microsoft,6.9
CVE-2015-2370,microsoft,7.2
CVE-2015-3284,openafs,2.1
CVE-2015-3285,openafs,2.1
CVE-2015-3286,openafs,4.6
CVE-2015-3281,debian,5.0
CVE-2015-3281,haproxy,5.0
CVE-2015-2379,microsoft,9.3
CVE-2015-2378,microsoft,6.9
CVE-2015-2575,mysql,4.9
CVE-2015-2574,oracle,2.1
CVE-2015-2577,oracle,7.2
CVE-2015-2576,oracle,2.1
CVE-2015-2571,oracle,4.0
CVE-2015-2571,novell,4.0
CVE-2015-2570,oracle,6.5
CVE-2015-2573,oracle,4.0
CVE-2015-2573,novell,4.0
CVE-2015-2572,oracle,4.6
CVE-2015-2572,microsoft,4.6
CVE-2015-7309,bolt,6.5
CVE-2015-2579,oracle,2.1
CVE-2015-2578,oracle,7.1
CVE-2015-4352,web-dorado,5.8
CVE-2015-6269,cisco,7.8
CVE-2015-6268,cisco,7.8
CVE-2015-0713,cisco,9.0
CVE-2015-0712,cisco,5.0
CVE-2015-0711,cisco,5.0
CVE-2015-0710,cisco,6.1
CVE-2015-0717,cisco,6.9
CVE-2015-0716,cisco,6.8
CVE-2015-0715,cisco,6.5
CVE-2015-0714,cisco,4.3
CVE-2015-1068,apple,6.8
CVE-2015-1069,apple,6.8
CVE-2015-1062,apple,5.0
CVE-2015-1063,apple,7.8
CVE-2015-1060,insanevisions,5.8
CVE-2015-1061,apple,9.3
CVE-2015-1066,apple,0.0
CVE-2015-1067,apple,4.3
CVE-2015-1064,apple,1.9
CVE-2015-1065,apple,5.4
CVE-2015-5950,nvidia,6.9
CVE-2015-5950,microsoft,6.9
CVE-2015-6007,refbase,6.8
CVE-2015-6009,refbase,7.5
CVE-2015-4050,sensiolabs,4.3
CVE-2015-3459,hospira,0.0
CVE-2015-4425,pimcore,4.9
CVE-2015-4051,beckhoff,9.0
CVE-2015-3378,viewsproject,4.9
CVE-2015-3379,viewsproject,4.0
CVE-2015-5632,newphoriacorporation,6.8
CVE-2015-3370,nodeinviteproject,6.8
CVE-2015-3371,nodeinviteproject,5.8
CVE-2015-3372,nodeinviteproject,3.5
CVE-2015-3373,amazonawsproject,5.0
CVE-2015-3374,cornerproject,5.8
CVE-2015-3375,niif,5.8
CVE-2015-3376,quizzlerproject,3.5
CVE-2015-2481,microsoft,9.3
CVE-2015-2480,microsoft,9.3
CVE-2015-2483,microsoft,5.0
CVE-2015-1668,microsoft,9.3
CVE-2015-2484,microsoft,6.4
CVE-2015-2487,microsoft,9.3
CVE-2015-2486,microsoft,9.3
CVE-2015-2489,microsoft,4.3
CVE-2015-1665,microsoft,9.3
CVE-2015-1666,microsoft,9.3
CVE-2015-1667,microsoft,9.3
CVE-2015-1660,microsoft,9.3
CVE-2015-1661,microsoft,4.3
CVE-2015-1662,microsoft,9.3
CVE-2015-1286,google,4.3
CVE-2015-1287,google,4.3
CVE-2015-1284,google,7.5
CVE-2015-1285,google,5.0
CVE-2015-1282,google,6.8
CVE-2015-1283,google,6.8
CVE-2015-1280,google,7.5
CVE-2015-1281,google,4.3
CVE-2015-5101,adobe,0.0
CVE-2015-5100,adobe,0.0
CVE-2015-5103,adobe,0.0
CVE-2015-5102,adobe,0.0
CVE-2015-5105,adobe,0.0
CVE-2015-5104,adobe,0.0
CVE-2015-1288,google,6.8
CVE-2015-1289,google,7.5
CVE-2015-1116,apple,2.1
CVE-2015-1117,apple,6.9
CVE-2015-1114,apple,1.9
CVE-2015-1115,apple,4.4
CVE-2015-1112,apple,5.0
CVE-2015-1113,apple,1.9
CVE-2015-1442,aas9,7.5
CVE-2015-1111,apple,5.0
CVE-2015-4427,ektron,3.5
CVE-2015-2498,microsoft,9.3
CVE-2015-1448,siemens,0.0
CVE-2015-1449,siemens,0.0
CVE-2015-1118,apple,5.0
CVE-2015-1119,apple,6.8
CVE-2015-5638,dena,4.3
CVE-2015-2157,novell,2.1
CVE-2015-2157,fedoraproject,2.1
CVE-2015-2157,debian,2.1
CVE-2015-2157,simontatham,2.1
CVE-2015-5555,adobe,0.0
CVE-2015-5555,linux,0.0
CVE-2015-5555,microsoft,0.0
CVE-2015-5555,apple,0.0
CVE-2015-2155,tcpdump,7.5
CVE-2015-2154,tcpdump,5.0
CVE-2015-2153,tcpdump,5.0
CVE-2015-2152,xen,1.9
CVE-2015-2151,xen,7.2
CVE-2015-2151,debian,7.2
CVE-2015-2150,xen,4.9
CVE-2015-7243,boxoft,7.5
CVE-2015-1598,siemens,2.1
CVE-2015-1599,siemens,2.1
CVE-2015-2398,microsoft,4.3
CVE-2015-1592,sixapart,7.5
CVE-2015-1593,linux,5.0
CVE-2015-2397,microsoft,9.3
CVE-2015-1596,siemens,5.8
CVE-2015-1597,siemens,6.8
CVE-2015-1594,siemens,6.9
CVE-2015-1595,siemens,4.3
CVE-2015-6307,cisco,6.1
CVE-2015-6939,joomla,4.3
CVE-2015-4748,oracle,7.6
CVE-2015-4749,oracle,4.3
CVE-2015-4744,oracle,2.6
CVE-2015-4745,oracle,7.5
CVE-2015-4746,oracle,4.0
CVE-2015-4747,oracle,6.8
CVE-2015-4740,oracle,6.0
CVE-2015-4741,oracle,3.5
CVE-2015-4742,oracle,5.0
CVE-2015-4743,oracle,4.0
CVE-2015-0889,kent-web,7.5
CVE-2015-0888,kent-web,6.4
CVE-2015-5611,fca,8.3
CVE-2015-5610,solarwinds,4.0
CVE-2015-5612,octobercms,4.3
CVE-2015-0883,synckgraphica,6.8
CVE-2015-0882,zen-cart.jp,4.3
CVE-2015-0881,squid-cache,4.3
CVE-2015-0880,crear.ne.jp,6.8
CVE-2015-0887,iij,7.1
CVE-2015-0886,mindrot,5.0
CVE-2015-0886,fedoraproject,5.0
CVE-2015-0885,debian,5.0
CVE-2015-0885,checkpwproject,5.0
CVE-2015-0884,toshiba,6.9
CVE-2015-0884,microsoft,6.9
CVE-2015-6665,fedoraproject,4.3
CVE-2015-6665,drupal,4.3
CVE-2015-6665,chaostoolsuiteproject,4.3
CVE-2015-6664,sap,6.8
CVE-2015-4420,opsview,4.3
CVE-2015-6806,gnu,5.0
CVE-2015-4337,xcloner,3.5
CVE-2015-5380,google,7.5
CVE-2015-5380,nodejs,7.5
CVE-2015-5380,iojs,7.5
CVE-2015-3289,openstack,4.0
CVE-2015-4528,emc,3.5
CVE-2015-4529,emc,5.8
CVE-2015-2107,hp,6.8
CVE-2015-2107,sap,6.8
CVE-2015-6663,sap,4.3
CVE-2015-2748,websense,5.0
CVE-2015-4520,mozilla,6.4
CVE-2015-4521,mozilla,7.5
CVE-2015-4522,mozilla,7.5
CVE-2015-6662,sap,6.8
CVE-2015-4524,emc,6.5
CVE-2015-4525,emc,9.0
CVE-2015-4526,emc,7.2
CVE-2015-4527,emc,7.8
CVE-2015-3999,piriform,2.1
CVE-2015-0081,microsoft,9.3
CVE-2015-0080,microsoft,4.3
CVE-2015-0087,microsoft,5.0
CVE-2015-0086,microsoft,9.3
CVE-2015-0085,microsoft,9.3
CVE-2015-0084,microsoft,2.1
CVE-2015-3990,dell,9.0
CVE-2015-0089,microsoft,5.0
CVE-2015-0088,microsoft,9.3
CVE-2015-3994,sap,4.0
CVE-2015-3995,sap,4.0
CVE-2015-5722,isc,7.8
CVE-2015-3282,openafs,4.3
CVE-2015-3283,openafs,6.8
CVE-2015-2979,webservice-dic,7.5
CVE-2015-2978,webservice-dic,5.0
CVE-2015-2971,seeds,5.5
CVE-2015-2970,lemon-sphp,6.4
CVE-2015-2973,welcart,4.3
CVE-2015-2972,sysphonic,7.5
CVE-2015-2975,research-artisan,5.0
CVE-2015-2974,lemon-sphp,5.0
CVE-2015-2977,webservice-dic,7.5
CVE-2015-2976,research-artisan,4.3
CVE-2015-4414,sehtml5albumaudioplayerproject,5.0
CVE-2015-2126,hp,7.2
CVE-2015-4413,nextend,4.3
CVE-2015-6938,ipython,4.3
CVE-2015-6938,jupyter,4.3
CVE-2015-6938,fedoraproject,4.3
CVE-2015-4418,zohocorp,5.0
CVE-2015-2124,hp,7.2
CVE-2015-2125,hp,4.0
CVE-2015-0158,ibm,4.3
CVE-2015-5435,hp,4.0
CVE-2015-2122,hp,7.8
CVE-2015-0157,ibm,6.8
CVE-2015-0156,ibm,3.5
CVE-2015-5107,adobe,5.0
CVE-2015-5430,hp,5.0
CVE-2015-5433,hp,4.0
CVE-2015-2123,hp,9.0
CVE-2015-2120,hp,8.7
CVE-2015-2121,hp,7.8
CVE-2015-4091,sap,7.5
CVE-2015-4336,xcloner,6.5
CVE-2015-2805,alcatel-lucent,6.8
CVE-2015-0231,php,7.5
CVE-2015-0232,php,6.8
CVE-2015-2806,gnu,0.0
CVE-2015-2806,canonical,0.0
CVE-2015-0235,gnu,0.0
CVE-2015-0236,redhat,3.5
CVE-2015-0236,novell,3.5
CVE-2015-0237,redhat,6.8
CVE-2015-0239,linux,4.7
CVE-2015-0239,canonical,4.7
CVE-2015-2809,synology,5.0
CVE-2015-2808,microsoft,4.3
CVE-2015-2808,mozilla,4.3
CVE-2015-2808,google,4.3
CVE-2015-2808,opera,4.3
CVE-2015-2808,apple,4.3
CVE-2015-2808,jboss,4.3
CVE-2015-2808,ibm,4.3
CVE-2015-2808,sun,4.3
CVE-2015-2808,oracle,4.3
CVE-2015-4252,cisco,6.8
CVE-2015-4253,cisco,6.8
CVE-2015-4256,cisco,6.8
CVE-2015-4257,cisco,6.8
CVE-2015-4254,cisco,6.8
CVE-2015-4255,cisco,6.8
CVE-2015-4258,cisco,6.8
CVE-2015-4259,cisco,4.3
CVE-2015-5579,adobe,0.0
CVE-2015-5579,apple,0.0
CVE-2015-5579,microsoft,0.0
CVE-2015-5579,google,0.0
CVE-2015-5579,linux,0.0
CVE-2015-2999,sysaid,6.5
CVE-2015-5538,citrix,0.0
CVE-2015-6261,cisco,4.0
CVE-2015-5599,wpslideshow,7.5
CVE-2015-2998,sysaid,5.0
CVE-2015-0528,emc,7.2
CVE-2015-0529,emc,5.0
CVE-2015-3610,siemens,5.4
CVE-2015-0524,emc,7.5
CVE-2015-0525,emc,7.5
CVE-2015-0526,emc,4.3
CVE-2015-0527,emc,2.1
CVE-2015-0521,emc,3.5
CVE-2015-0522,emc,4.3
CVE-2015-0523,emc,7.8
CVE-2015-2711,novell,4.3
CVE-2015-2711,mozilla,4.3
CVE-2015-2710,mozilla,6.8
CVE-2015-2710,novell,6.8
CVE-2015-2713,novell,6.8
CVE-2015-2713,mozilla,6.8
CVE-2015-2712,mozilla,7.5
CVE-2015-2712,novell,7.5
CVE-2015-2715,mozilla,6.8
CVE-2015-2715,novell,6.8
CVE-2015-2714,mozilla,2.1
CVE-2015-2714,google,2.1
CVE-2015-2717,mozilla,6.8
CVE-2015-2717,novell,6.8
CVE-2015-2716,novell,7.5
CVE-2015-2716,mozilla,7.5
CVE-2015-2718,novell,4.3
CVE-2015-2718,mozilla,4.3
CVE-2015-4654,joomla,7.5
CVE-2015-6819,ffmpeg,7.5
CVE-2015-6267,cisco,7.8
CVE-2015-5635,newphoriacorporation,6.8
CVE-2015-6266,cisco,5.0
CVE-2015-4270,cisco,4.3
CVE-2015-7612,mcafee,6.8
CVE-2015-2995,sysaid,6.8
CVE-2015-5634,newphoriacorporation,6.8
CVE-2015-5706,linux,4.6
CVE-2015-2994,sysaid,6.5
CVE-2015-0418,oracle,2.1
CVE-2015-0419,oracle,4.3
CVE-2015-3761,apple,7.2
CVE-2015-3760,apple,7.2
CVE-2015-2629,oracle,9.0
CVE-2015-2628,oracle,0.0
CVE-2015-3765,apple,6.8
CVE-2015-3764,apple,4.3
CVE-2015-0410,oracle,5.0
CVE-2015-0411,oracle,7.5
CVE-2015-0412,oracle,7.2
CVE-2015-0413,oracle,1.9
CVE-2015-0414,oracle,3.5
CVE-2015-0415,oracle,4.0
CVE-2015-0416,oracle,3.5
CVE-2015-0417,oracle,4.0
CVE-2015-1941,ibm,7.8
CVE-2015-7296,securifi,4.3
CVE-2015-1943,ibm,7.8
CVE-2015-1942,ibm,9.3
CVE-2015-1945,ibm,6.5
CVE-2015-1944,ibm,3.5
CVE-2015-1946,ibm,4.4
CVE-2015-1949,ibm,0.0
CVE-2015-1948,ibm,7.8
CVE-2015-3979,sap,7.5
CVE-2015-6470,resourcedatamanagementdatamanager,5.5
CVE-2015-5815,apple,6.8
CVE-2015-6474,ibcsolar,5.0
CVE-2015-6475,ibcsolar,4.3
CVE-2015-2360,microsoft,7.2
CVE-2015-2361,microsoft,7.2
CVE-2015-2362,microsoft,7.2
CVE-2015-2363,microsoft,7.2
CVE-2015-2364,microsoft,7.2
CVE-2015-2365,microsoft,7.2
CVE-2015-2366,microsoft,7.2
CVE-2015-2367,microsoft,2.1
CVE-2015-2368,microsoft,6.9
CVE-2015-2369,microsoft,6.9
CVE-2015-6678,adobe,0.0
CVE-2015-6678,google,0.0
CVE-2015-6678,microsoft,0.0
CVE-2015-6678,apple,0.0
CVE-2015-6678,linux,0.0
CVE-2015-6679,adobe,5.0
CVE-2015-6679,microsoft,5.0
CVE-2015-6679,apple,5.0
CVE-2015-6679,google,5.0
CVE-2015-6679,linux,5.0
CVE-2015-2566,novell,2.8
CVE-2015-2566,oracle,2.8
CVE-2015-2567,oracle,3.5
CVE-2015-2567,novell,3.5
CVE-2015-2564,projectsend,6.5
CVE-2015-2565,oracle,4.3
CVE-2015-2562,web-dorado,7.5
CVE-2015-2563,vastal,7.5
CVE-2015-4679,airties,4.3
CVE-2015-2568,oracle,5.0
CVE-2015-2568,novell,5.0
CVE-2015-0704,cisco,6.8
CVE-2015-0705,cisco,6.8
CVE-2015-0706,cisco,5.8
CVE-2015-0707,cisco,3.5
CVE-2015-0700,cisco,6.8
CVE-2015-0701,cisco,0.0
CVE-2015-0702,cisco,9.0
CVE-2015-0703,cisco,4.3
CVE-2015-6272,cisco,7.8
CVE-2015-1695,microsoft,9.3
CVE-2015-4272,cisco,4.3
CVE-2015-6271,cisco,7.8
CVE-2015-0708,cisco,6.1
CVE-2015-0709,cisco,6.8
CVE-2015-6274,cisco,5.0
CVE-2015-1346,google,7.5
CVE-2015-1346,chromium,7.5
CVE-2015-1346,canonical,7.5
CVE-2015-1057,e107,4.3
CVE-2015-1056,brother,4.3
CVE-2015-1055,web-dorado,7.5
CVE-2015-1054,crea8social,3.5
CVE-2015-1053,croogo,4.3
CVE-2015-1052,phpkit,4.3
CVE-2015-1051,contextproject,5.8
CVE-2015-1050,f5,4.3
CVE-2015-4394,servicesproject,5.0
CVE-2015-1729,microsoft,4.3
CVE-2015-1728,microsoft,9.3
CVE-2015-1059,insanevisions,6.5
CVE-2015-1058,insanevisions,4.3
CVE-2015-6012,refbase,5.8
CVE-2015-6010,refbase,4.3
CVE-2015-6011,refbase,5.0
CVE-2015-6008,refbase,7.5
CVE-2015-3141,synametrics,6.8
CVE-2015-5812,apple,6.8
CVE-2015-3385,taxonomypathproject,3.5
CVE-2015-3384,commercebalancedpaymentsproject,3.5
CVE-2015-3387,taxonomytoolsproject,3.5
CVE-2015-3386,nodeaccessproductproject,3.5
CVE-2015-3381,insite,3.5
CVE-2015-3380,funnymonkey,5.8
CVE-2015-3383,insite,5.8
CVE-2015-3382,insite,5.8
CVE-2015-5816,apple,6.8
CVE-2015-3389,publicdownloadcountproject,3.5
CVE-2015-3388,balanced,5.8
CVE-2015-1619,mcafee,3.5
CVE-2015-1618,mcafee,4.0
CVE-2015-2490,microsoft,9.3
CVE-2015-2491,microsoft,9.3
CVE-2015-2494,microsoft,9.3
CVE-2015-3143,haxx,5.0
CVE-2015-3143,debian,5.0
CVE-2015-3143,canonical,5.0
CVE-2015-1613,rhodecode,4.0
CVE-2015-2499,microsoft,9.3
CVE-2015-1614,imagemetadatacruncherproject,6.8
CVE-2015-1617,mcafee,3.5
CVE-2015-1616,mcafee,6.5
CVE-2015-5118,adobe,0.0
CVE-2015-5118,microsoft,0.0
CVE-2015-5118,apple,0.0
CVE-2015-5118,linux,0.0
CVE-2015-5119,adobe,0.0
CVE-2015-5119,microsoft,0.0
CVE-2015-5119,apple,0.0
CVE-2015-5119,linux,0.0
CVE-2015-5113,adobe,0.0
CVE-2015-5110,adobe,0.0
CVE-2015-5111,adobe,0.0
CVE-2015-5116,adobe,5.0
CVE-2015-5116,microsoft,5.0
CVE-2015-5116,apple,5.0
CVE-2015-5116,linux,5.0
CVE-2015-5117,adobe,0.0
CVE-2015-5117,linux,0.0
CVE-2015-5117,microsoft,0.0
CVE-2015-5117,apple,0.0
CVE-2015-5114,adobe,0.0
CVE-2015-5115,adobe,0.0
CVE-2015-1431,phpbb,4.3
CVE-2015-1122,apple,6.8
CVE-2015-1121,apple,6.8
CVE-2015-1432,phpbb,6.8
CVE-2015-1127,apple,2.1
CVE-2015-1126,apple,4.3
CVE-2015-1125,apple,4.3
CVE-2015-1124,apple,6.8
CVE-2015-5810,apple,6.8
CVE-2015-1129,apple,4.3
CVE-2015-1128,apple,5.0
CVE-2015-2149,mybb,3.5
CVE-2015-2140,hp,6.5
CVE-2015-2141,cryptopp,5.0
CVE-2015-2141,novell,5.0
CVE-2015-4296,cisco,5.0
CVE-2015-2388,microsoft,9.3
CVE-2015-2389,microsoft,9.3
CVE-2015-2387,microsoft,7.2
CVE-2015-2384,microsoft,9.3
CVE-2015-2385,microsoft,9.3
CVE-2015-2382,microsoft,2.1
CVE-2015-2383,microsoft,9.3
CVE-2015-2380,microsoft,9.3
CVE-2015-2381,microsoft,2.1
CVE-2015-4739,oracle,3.5
CVE-2015-4738,oracle,4.0
CVE-2015-4731,oracle,0.0
CVE-2015-4733,oracle,0.0
CVE-2015-4732,oracle,0.0
CVE-2015-4735,oracle,5.0
CVE-2015-4737,debian,3.5
CVE-2015-4737,canonical,3.5
CVE-2015-4737,oracle,3.5
CVE-2015-4736,oracle,9.3
CVE-2015-0894,tipsandtrickshq,6.0
CVE-2015-0895,tipsandtrickshq,6.8
CVE-2015-0896,extplorer,4.3
CVE-2015-5605,google,5.0
CVE-2015-5605,novell,5.0
CVE-2015-0890,bestwebsoft,5.0
CVE-2015-0891,maroyakasimpleboardproject,4.3
CVE-2015-0892,maroyakaimagealbumproject,4.3
CVE-2015-0893,maroyakarelaynovelproject,4.3
CVE-2015-1545,openldap,5.0
CVE-2015-4388,currentsearchlinksproject,2.6
CVE-2015-1546,openldap,5.0
CVE-2015-0898,futomi,7.5
CVE-2015-4389,opengraphimporterproject,4.0
CVE-2015-4294,cisco,4.3
CVE-2015-6676,adobe,0.0
CVE-2015-6676,google,0.0
CVE-2015-6676,microsoft,0.0
CVE-2015-6676,apple,0.0
CVE-2015-6676,linux,0.0
CVE-2015-2623,oracle,4.3
CVE-2015-2034,piwigo,4.3
CVE-2015-2035,piwigo,6.5
CVE-2015-2033,infoblox,0.0
CVE-2015-2485,microsoft,9.3
CVE-2015-2039,acobotlivechat%26contactformproject,6.8
CVE-2015-4084,free-counter,4.3
CVE-2015-0098,microsoft,7.2
CVE-2015-0099,microsoft,9.3
CVE-2015-2660,oracle,3.6
CVE-2015-0094,microsoft,2.1
CVE-2015-0095,microsoft,5.6
CVE-2015-0096,microsoft,9.3
CVE-2015-0097,microsoft,9.3
CVE-2015-0090,microsoft,9.3
CVE-2015-0091,microsoft,9.3
CVE-2015-0092,microsoft,9.3
CVE-2015-0093,microsoft,9.3
CVE-2015-6809,bedita,4.3
CVE-2015-3176,moodle,4.3
CVE-2015-4647,panasonic,6.8
CVE-2015-2662,oracle,1.9
CVE-2015-3961,garrettcom,3.5
CVE-2015-3960,garrettcom,4.3
CVE-2015-3963,windriver,5.8
CVE-2015-3963,schneider-electic,5.8
CVE-2015-3177,moodle,3.5
CVE-2015-2665,cacti,4.3
CVE-2015-4383,decisionsproject,6.8
CVE-2015-6805,medhabidotcom,3.5
CVE-2015-3174,moodle,3.5
CVE-2015-6807,masscontactproject,2.1
CVE-2015-2664,oracle,6.9
CVE-2015-3175,moodle,5.8
CVE-2015-5736,fortinet,7.2
CVE-2015-2667,gns3,7.2
CVE-2015-5735,fortinet,7.2
CVE-2015-3759,apple,4.6
